source,split,accuracy,precision,recall,f1,f1_binary,f1_macro,precision_macro,recall_macro,roc_auc,pr_auc,ece,brier
exp_g1_binary_dynahate,train_dynahate_test_hateeval,0.446,0.43388429752066116,0.9859154929577465,0.6025824964131994,0.6025824964131994,0.3441955386356426,0.6231921487603306,0.5156058301025667,0.6199800428587786,0.51202784817836,0.366161404132843,0.3695580628683239
exp_g1_binary_dynahate,train_hateeval_test_dynahate,0.550242718446602,0.5503763049283806,0.9995590828924162,0.7098794426178174,0.7098794426178174,0.3549397213089087,0.2751881524641903,0.4997795414462081,0.554699790683412,0.5852096981838872,0.32830379523553893,0.35344242657143893
exp_g1_binary_hateeval,train_dynahate_test_hateeval,0.634,0.5493421052631579,0.784037558685446,0.6460348162475822,0.6460348162475822,0.6335764143349711,0.6573241138560687,0.6533428211545698,0.6806366655215847,0.5444456509530071,0.08485045341774822,0.22278669908661466
exp_g1_binary_hateeval,train_hateeval_test_dynahate,0.5449029126213593,0.5528083848427842,0.9069664902998237,0.6869260310569377,0.6869260310569377,0.4269814517790242,0.5119931648524698,0.5042391846747498,0.5113502824535942,0.555896517768719,0.05729365374947201,0.25407976576860863
exp_g2_structured_dynahate,train_dynahate_test_hateeval,0.65,0.5811965811965812,0.6384976525821596,0.6085011185682326,0.6085011185682326,0.6460227111828505,0.6458614484930274,0.6485171189740067,0.672310284471054,0.5526650372607991,0.1385595404105261,0.24852380174678143
exp_g2_structured_dynahate,train_hateeval_test_dynahate,0.7890776699029126,0.7965239508266214,0.8284832451499118,0.8121893235357683,0.8121893235357683,0.7858344901653378,0.7878133666682795,0.7846519897455823,0.8836180010361077,0.9026550318775327,0.06714076905394711,0.14317141155922497
exp_structured_dh_hx,train_dynahate_hatexplain_test_hateeval,0.634,0.5572519083969466,0.6854460093896714,0.6147368421052631,0.6147368421052631,0.6330827067669174,0.6378696516774649,0.6406324123603409,0.659223634489866,0.5589173375921939,0.20304424906568602,0.27533734171391805
