source,accuracy,precision,recall,f1,f1_binary,f1_macro,precision_macro,recall_macro,roc_auc,pr_auc,ece,brier
exp_g6_peft_lora,0.8163538873994638,0.8102310231023102,0.9571150097465887,0.8775692582663092,0.8775692582663092,0.7551385165326183,0.8265440829797266,0.7317763889934661,0.8552736156079277,0.9158702921390169,0.041563944085551065,0.1299281102875912
exp_g6_peft_qlora,0.8096514745308311,0.8214904679376083,0.9239766081871345,0.8697247706422019,0.8697247706422019,0.7582454698982154,0.7953606185841888,0.7409582611751122,0.826217905278217,0.8880579003538777,0.048020012140889363,0.13881596091258716
exp_g6_peft_dora,0.8176943699731903,0.8016,0.9766081871345029,0.8804920913884007,0.8804920913884007,0.7481556502139743,0.8512132231404959,0.7222096729663932,0.8864543332580378,0.9358735186596738,0.0705261811231395,0.12614137757503602
